age,workclass,final_weight,education,education_number,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salario
23,Private,199070,secundaria,9,soltero,Protective-serv,Own-child,Black,Masculino,0,0,16,Norte America,<=50K
62,autonomo,71467,universidad,13,casado,Craft-repair,Husband,White,Masculino,0,0,55,Norte America,>50K
21,Private,306967,bachillerato,11,soltero,Adm-clerical,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
50,Private,222020,secundaria,9,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,<=50K
32,Private,123253,bachillerato,12,casado,Craft-repair,Husband,White,Masculino,0,0,42,Norte America,<=50K
27,autonomo,147452,primaria,6,soltero,Sales,Own-child,White,Femenino,0,0,48,Norte America,<=50K
24,Private,408585,primaria,4,casado,Farming-fishing,Own-child,White,Femenino,0,0,45,Norte America,<=50K
46,Private,148738,secundaria,9,casado,Handlers-cleaners,Husband,White,Masculino,0,1740,35,Norte America,<=50K
35,Private,186815,secundaria,9,casado,Machine-op-inspct,Husband,White,Masculino,0,0,40,Norte America,<=50K
55,autonomo,183580,master,14,separado,Exec-managerial,Not-in-family,White,Masculino,0,0,45,Norte America,<=50K
66,Private,174491,secundaria,9,casado,Handlers-cleaners,Husband,White,Masculino,0,0,40,Norte America,<=50K
30,funcionario,103651,universidad,13,casado,Prof-specialty,Husband,White,Masculino,0,0,40,Norte America,<=50K
21,Private,120998,bachillerato,10,soltero,Prof-specialty,Not-in-family,White,Masculino,0,0,20,Norte America,<=50K
56,Private,59469,primaria,4,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,<=50K
43,Private,352005,universidad,13,casado,Sales,Husband,White,Masculino,15024,0,45,Norte America,>50K
51,autonomo,338836,bachillerato,10,casado,Exec-managerial,Husband,White,Masculino,0,0,40,Norte America,>50K
23,Private,27776,bachillerato,11,soltero,Machine-op-inspct,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
42,funcionario,262402,universidad,13,soltero,Exec-managerial,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
30,Private,455995,secundaria,9,soltero,Craft-repair,Own-child,White,Masculino,0,0,40,Norte America,<=50K
20,funcionario,444554,bachillerato,10,soltero,Other-service,Own-child,White,Masculino,0,0,25,Norte America,<=50K
30,Private,192002,bachillerato,10,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,<=50K
24,Private,91999,bachillerato,12,soltero,Exec-managerial,Not-in-family,White,Masculino,0,0,20,Norte America,<=50K
31,Private,172304,bachillerato,10,casado,Craft-repair,Husband,White,Masculino,0,0,50,Norte America,>50K
32,Private,268282,primaria,4,casado,Farming-fishing,Other-relative,White,Masculino,0,0,35,Norte America,<=50K
36,Private,153078,master,14,casado,Exec-managerial,Husband,Asian-Pac-Islander,Masculino,15024,0,40,Asia,>50K
39,Private,226374,primaria,6,separado,Other-service,Unmarried,Black,Femenino,0,0,40,Norte America,<=50K
52,Private,111192,bachillerato,10,casado,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Masculino,0,0,40,Norte America,<=50K
40,funcionario,270324,bachillerato,11,casado,Other-service,Husband,Black,Masculino,0,0,30,Norte America,<=50K
44,Private,187629,bachillerato,12,soltero,Craft-repair,Not-in-family,White,Masculino,0,0,25,Norte America,<=50K
24,Private,374763,primaria,7,separado,Craft-repair,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
52,Private,110563,bachillerato,10,casado,Exec-managerial,Husband,White,Masculino,0,0,40,Norte America,>50K
50,autonomo,30731,bachillerato,11,soltero,Other-service,Not-in-family,White,Masculino,0,0,50,Norte America,<=50K
45,autonomo,142871,bachillerato,10,separado,Sales,Unmarried,White,Masculino,0,0,50,Norte America,<=50K
45,funcionario,213620,universidad,13,separado,Prof-specialty,Not-in-family,White,Femenino,0,0,50,Norte America,>50K
42,Private,111949,secundaria,9,casado,Adm-clerical,Wife,White,Femenino,0,0,35,Norte America,<=50K
50,funcionario,288353,universidad,13,casado,Protective-serv,Husband,White,Masculino,0,0,40,Norte America,>50K
40,Private,228535,bachillerato,12,casado,Prof-specialty,Husband,White,Masculino,7298,0,36,Norte America,>50K
38,Private,272950,bachillerato,10,soltero,Sales,Not-in-family,White,Masculino,0,0,50,Norte America,<=50K
19,Private,239057,secundaria,9,soltero,Craft-repair,Own-child,White,Masculino,0,0,40,Norte America,<=50K
46,autonomo,168195,master,15,casado,Prof-specialty,Husband,White,Masculino,0,1902,45,Norte America,>50K
39,autonomo,188571,bachillerato,11,casado,Farming-fishing,Husband,White,Masculino,0,0,60,Norte America,<=50K
54,Private,308087,bachillerato,10,casado,Tech-support,Husband,White,Masculino,0,1977,18,Norte America,>50K
44,autonomo,22933,secundaria,9,casado,Exec-managerial,Husband,White,Masculino,0,0,40,Norte America,<=50K
37,Private,393673,master,14,soltero,Prof-specialty,Unmarried,White,Femenino,0,0,40,Norte America,<=50K
38,Private,276552,bachillerato,10,casado,Prof-specialty,Husband,White,Masculino,0,0,50,Norte America,<=50K
38,funcionario,169926,universidad,13,casado,Prof-specialty,Wife,White,Femenino,0,0,21,Norte America,>50K
34,funcionario,229531,bachillerato,12,casado,Prof-specialty,Husband,White,Masculino,0,0,60,Norte America,<=50K
32,autonomo,400061,master,15,casado,Prof-specialty,Husband,Asian-Pac-Islander,Masculino,15024,0,40,Asia,>50K
36,autonomo,48063,secundaria,9,casado,Farming-fishing,Husband,White,Masculino,0,0,80,Norte America,<=50K
50,autonomo,302708,universidad,13,casado,Exec-managerial,Husband,Asian-Pac-Islander,Masculino,7688,0,50,Asia,>50K
63,Private,143098,secundaria,9,casado,Sales,Husband,White,Masculino,4064,0,40,Norte America,<=50K
49,Private,123207,secundaria,9,soltero,Adm-clerical,Not-in-family,White,Femenino,0,0,44,Norte America,<=50K
31,Private,175778,bachillerato,12,soltero,Adm-clerical,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
27,Private,170017,universidad,13,casado,Prof-specialty,Husband,White,Masculino,0,0,40,Norte America,<=50K
42,Private,251239,primaria,5,soltero,Farming-fishing,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
48,Private,182211,bachillerato,10,casado,Transport-moving,Husband,White,Masculino,0,0,45,Norte America,<=50K
34,funcionario,191957,universidad,13,casado,Craft-repair,Husband,Black,Masculino,0,0,45,Norte America,>50K
35,Private,220595,secundaria,9,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,<=50K
24,Private,148709,secundaria,9,soltero,Other-service,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
24,Private,119156,secundaria,9,soltero,Handlers-cleaners,Own-child,White,Masculino,0,0,40,Norte America,<=50K
66,Private,147766,secundaria,9,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,>50K
49,Private,236586,secundaria,9,casado,Adm-clerical,Husband,White,Masculino,0,0,40,Norte America,>50K
51,autonomo,231230,universidad,13,casado,Exec-managerial,Husband,White,Masculino,0,0,25,Norte America,<=50K
42,funcionario,191149,master,14,soltero,Prof-specialty,Unmarried,White,Femenino,0,0,40,Norte America,<=50K
26,Private,143062,bachillerato,10,separado,Adm-clerical,Own-child,White,Femenino,0,0,40,Norte America,<=50K
27,Private,100168,primaria,4,casado,Other-service,Wife,White,Femenino,0,0,40,Norte America,<=50K
29,Private,31659,bachillerato,10,soltero,Craft-repair,Not-in-family,White,Masculino,2202,0,45,Norte America,<=50K
56,Private,170070,secundaria,9,casado,Exec-managerial,Wife,White,Femenino,0,0,40,Norte America,>50K
38,Private,275338,universidad,13,separado,Sales,Unmarried,White,Femenino,1151,0,40,Norte America,<=50K
59,funcionario,195467,master,14,soltero,Exec-managerial,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
50,funcionario,211112,secundaria,9,soltero,Adm-clerical,Not-in-family,White,Femenino,0,0,37,Norte America,<=50K
17,Private,89259,primaria,7,soltero,Adm-clerical,Own-child,White,Femenino,0,0,15,Norte America,<=50K
23,Private,374474,secundaria,9,soltero,Other-service,Own-child,White,Femenino,0,0,35,Norte America,<=50K
24,Private,124242,secundaria,9,soltero,Adm-clerical,Own-child,White,Femenino,0,0,40,Norte America,<=50K
30,Private,188362,secundaria,9,casado,Exec-managerial,Husband,White,Masculino,5178,0,40,Norte America,>50K
48,Private,185079,secundaria,9,soltero,Exec-managerial,Not-in-family,White,Femenino,0,0,50,Norte America,<=50K
41,Private,223934,bachillerato,12,separado,Adm-clerical,Unmarried,White,Femenino,0,0,38,Norte America,<=50K
59,Private,200700,universidad,13,casado,Craft-repair,Husband,Black,Masculino,0,0,48,Norte America,>50K
40,Private,171234,bachillerato,11,soltero,Prof-specialty,Unmarried,White,Femenino,0,0,24,Norte America,<=50K
61,Private,191417,primaria,5,separado,Exec-managerial,Not-in-family,Black,Masculino,0,0,65,Norte America,<=50K
20,autonomo,188274,bachillerato,10,soltero,Prof-specialty,Own-child,White,Masculino,0,0,10,Norte America,<=50K
23,Private,208946,universidad,13,soltero,Sales,Own-child,White,Masculino,0,0,32,Norte America,<=50K
37,Private,175720,primaria,6,soltero,Handlers-cleaners,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
48,Private,164966,universidad,13,casado,Exec-managerial,Husband,Asian-Pac-Islander,Masculino,0,0,40,Asia,>50K
32,Private,128002,bachillerato,11,casado,Adm-clerical,Wife,White,Femenino,0,0,45,Norte America,<=50K
50,Private,148953,secundaria,9,casado,Transport-moving,Husband,White,Masculino,0,0,50,Norte America,>50K
24,Private,124751,secundaria,9,soltero,Adm-clerical,Own-child,White,Femenino,0,0,35,Norte America,<=50K
29,autonomo,241431,secundaria,9,soltero,Craft-repair,Not-in-family,White,Masculino,0,0,45,Norte America,<=50K
42,funcionario,318046,primaria,7,casado,Transport-moving,Husband,White,Masculino,0,0,40,Norte America,<=50K
39,Private,231491,secundaria,9,soltero,Handlers-cleaners,Other-relative,White,Masculino,0,0,40,Norte America,<=50K
39,Private,180477,master,14,soltero,Prof-specialty,Not-in-family,White,Masculino,0,0,60,Norte America,>50K
39,Private,65382,bachillerato,10,casado,Exec-managerial,Husband,White,Masculino,0,0,40,Norte America,<=50K
22,Private,117210,bachillerato,10,soltero,Adm-clerical,Own-child,White,Masculino,0,0,25,Europa,<=50K
51,Private,175070,bachillerato,12,casado,Sales,Husband,White,Masculino,5178,0,45,Norte America,>50K
39,Private,121590,bachillerato,10,soltero,Prof-specialty,Not-in-family,Black,Masculino,4787,0,40,Norte America,>50K
44,Private,180609,bachillerato,10,separado,Craft-repair,Not-in-family,White,Masculino,0,0,42,Norte America,<=50K
47,Private,106942,primaria,4,separado,Other-service,Not-in-family,White,Femenino,0,0,38,Norte America,<=50K
29,Private,105598,bachillerato,10,separado,Tech-support,Not-in-family,White,Masculino,0,0,58,Norte America,<=50K
33,Private,348416,secundaria,9,soltero,Adm-clerical,Unmarried,Black,Femenino,0,0,40,Norte America,<=50K
30,Private,205204,secundaria,9,soltero,Adm-clerical,Own-child,White,Femenino,0,0,40,Norte America,<=50K
29,Private,180758,master,14,soltero,Prof-specialty,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
52,Private,118025,universidad,13,casado,Exec-managerial,Husband,White,Masculino,99999,0,50,Norte America,>50K
36,funcionario,61778,secundaria,9,casado,Prof-specialty,Husband,White,Masculino,15024,0,40,Norte America,>50K
40,funcionario,258589,master,14,soltero,Craft-repair,Not-in-family,White,Masculino,0,0,80,Norte America,<=50K
45,funcionario,339681,master,14,separado,Prof-specialty,Unmarried,White,Femenino,1506,0,45,Norte America,<=50K
48,Private,449354,secundaria,9,casado,Adm-clerical,Husband,White,Masculino,4386,0,45,Norte America,>50K
53,Private,135840,universidad,13,casado,Prof-specialty,Husband,White,Masculino,0,0,55,Norte America,>50K
59,Private,170148,bachillerato,10,separado,Other-service,Unmarried,White,Femenino,0,0,32,Norte America,<=50K
42,funcionario,155657,secundaria,9,separado,Adm-clerical,Not-in-family,Black,Femenino,0,0,25,Norte America,<=50K
40,autonomo,223881,master,15,casado,Prof-specialty,Husband,White,Masculino,0,0,60,Norte America,>50K
26,Private,182390,primaria,7,separado,Craft-repair,Not-in-family,Black,Masculino,0,0,40,Norte America,<=50K
65,autonomo,223580,bachillerato,10,casado,Machine-op-inspct,Husband,White,Masculino,6514,0,40,Norte America,>50K
46,Private,168232,secundaria,9,casado,Handlers-cleaners,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
21,funcionario,244074,secundaria,9,soltero,Other-service,Not-in-family,White,Femenino,0,0,22,Norte America,<=50K
46,autonomo,231347,bachillerato,10,separado,Prof-specialty,Not-in-family,White,Masculino,0,0,20,Norte America,<=50K
76,Private,201240,secundaria,9,soltero,Adm-clerical,Other-relative,White,Femenino,0,0,40,Norte America,<=50K
50,Private,594521,primaria,5,separado,Adm-clerical,Unmarried,White,Femenino,0,0,40,Norte America,<=50K
48,funcionario,215389,secundaria,9,casado,Transport-moving,Husband,Black,Masculino,0,0,40,Norte America,>50K
58,Private,201344,universidad,13,separado,Craft-repair,Own-child,White,Femenino,0,0,20,Norte America,<=50K
61,Private,180418,secundaria,9,casado,Transport-moving,Husband,White,Masculino,0,0,40,Norte America,>50K
18,Private,168288,secundaria,9,soltero,Handlers-cleaners,Own-child,White,Masculino,0,0,40,Norte America,<=50K
73,Private,199362,secundaria,9,casado,Other-service,Husband,White,Masculino,0,0,30,Norte America,<=50K
35,autonomo,115618,secundaria,9,separado,Sales,Not-in-family,White,Masculino,0,0,50,Norte America,>50K
28,Private,173944,master,14,casado,Prof-specialty,Husband,White,Masculino,0,0,40,Norte America,>50K
28,Private,180299,secundaria,9,casado,Transport-moving,Husband,White,Masculino,0,0,70,Norte America,<=50K
22,Private,210474,bachillerato,12,soltero,Adm-clerical,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
40,Private,170730,secundaria,9,casado,Craft-repair,Husband,White,Masculino,0,0,50,Norte America,<=50K
31,Private,33117,bachillerato,10,casado,Craft-repair,Husband,White,Masculino,0,0,45,Norte America,>50K
24,Private,220426,secundaria,9,soltero,Handlers-cleaners,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
32,Private,113364,universidad,13,soltero,Transport-moving,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
33,Private,133278,secundaria,9,soltero,Adm-clerical,Own-child,Black,Femenino,0,0,40,Norte America,<=50K
20,Private,188923,bachillerato,10,soltero,Other-service,Own-child,White,Femenino,0,0,37,Norte America,<=50K
47,Private,191957,secundaria,9,casado,Sales,Husband,Black,Masculino,0,0,40,Norte America,>50K
47,Private,166181,bachillerato,10,casado,Adm-clerical,Wife,Black,Femenino,0,0,48,Norte America,>50K
46,Private,41223,bachillerato,10,casado,Adm-clerical,Husband,White,Masculino,0,0,40,Norte America,>50K
26,Private,59306,universidad,13,soltero,Sales,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
38,Private,208358,secundaria,9,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,>50K
32,Private,173449,secundaria,9,casado,Handlers-cleaners,Husband,White,Masculino,0,0,40,Norte America,<=50K
19,Private,38619,bachillerato,10,soltero,Farming-fishing,Own-child,White,Masculino,0,0,66,Norte America,<=50K
22,Private,112137,bachillerato,10,soltero,Prof-specialty,Other-relative,Asian-Pac-Islander,Femenino,0,0,20,Otros,<=50K
36,Private,58602,primaria,3,soltero,Other-service,Not-in-family,White,Masculino,0,0,35,Norte America,<=50K
24,Private,604537,secundaria,9,soltero,Transport-moving,Unmarried,White,Masculino,0,0,40,Norte America,<=50K
25,Private,186294,secundaria,9,soltero,Adm-clerical,Not-in-family,White,Femenino,0,0,50,Norte America,<=50K
29,funcionario,160731,master,14,casado,Tech-support,Husband,White,Masculino,0,0,50,Europa,<=50K
30,Private,219838,primaria,8,separado,Machine-op-inspct,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
40,Private,213019,secundaria,9,separado,Sales,Unmarried,White,Femenino,0,0,30,Norte America,<=50K
31,Private,179673,secundaria,9,casado,Machine-op-inspct,Husband,White,Masculino,0,0,40,Norte America,>50K
30,Private,226696,universidad,13,casado,Sales,Husband,White,Masculino,0,0,40,Norte America,>50K
40,autonomo,814850,primaria,5,separado,Other-service,Not-in-family,Amer-Indian-Eskimo,Femenino,0,0,20,Norte America,<=50K
34,Private,160634,bachillerato,10,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,>50K
22,Private,95552,secundaria,9,soltero,Machine-op-inspct,Own-child,White,Masculino,0,0,40,Norte America,<=50K
37,autonomo,156897,master,15,soltero,Prof-specialty,Own-child,White,Masculino,0,1564,55,Norte America,>50K
